CANAL,CLASSIFICACAO_CANAL,CNPJ_PROGRAMADORA,CLASSIFICACAO_PROGRAMADORA,NR_IDENTIFICACAO,OFERTA_CLIENTE,DENSIDADE_CANAL,PAIS_PROGRAMADORA,TIPO_CONTEUDO_CANAL,NOME_PROGRAMADORA,DATA_INICIO_OFERTA
A&E,canal de espaço qualificado,,programadora estrangeira,2239830001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"A&E BRAZIL DISTRIBUTION, LLC",1997-06-01
A&E HD,canal de espaço qualificado,,programadora estrangeira,2239830002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"A&E BRAZIL DISTRIBUTION, LLC",2010-12-01
ADULT SWIM,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330033,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2023-10-31
ADULT SWIM HD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330034,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2023-10-31
AFESP TV,canal de programação comum,26650154000112,,3530730001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,ASSOCIAÇÃO DOS FUNCIONÁRIOS EMPREGADOS E SERVIDORES PÚBLICOS MUNICIPAIS DE PETRÓPOLIS,2017-01-01
AGRO+,canal de programação comum,04334366000158,programadora brasileira,329330011,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo jornalístico,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2020-06-22
AGRO+ HD,canal de programação comum,04334366000158,programadora brasileira,329330012,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2020-06-22
AGROBRASIL TV O SEU CANAL,canal de programação comum,07760498000130,programadora brasileira independente,612530001,"canal ofertado em pacote, canal à la carte",PADRÃO,Brasil,canal de conteúdo em geral,AGROMIX TELEVISAO LTDA,2005-12-26
ALPHA CHANNEL TV,canal de programação comum,20968212000174,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2948730001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,HAPPY SERVICOS E COMUNICACOES EIRELI,2014-08-28
AMC,canal de espaço qualificado,06147448000119,programadora estrangeira,621130003,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,AMC NETWORKS LATIN AMERICA LLC,1997-07-01
AMC HD,canal de espaço qualificado,06147448000119,programadora estrangeira,621130002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,AMC NETWORKS LATIN AMERICA LLC,2009-04-30
ANIMAL PLANET,canal de espaço qualificado,,programadora estrangeira,2603930001,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",1999-09-01
ANIMAL PLANET HD,canal de espaço qualificado,,programadora estrangeira,2603930018,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2015-12-01
ART LATINO,canal não adaptado ao mercado brasileiro,,programadora estrangeira,1412530002,"canal ofertado em pacote, canal à la carte",PADRÃO,Uruguai,canal de conteúdo em geral,ALL TV COMMUNICATIONS S.A.,1994-07-01
ARTE 1,canal brasileiro de espaço qualificado,04334366000158,programadora brasileira,329330003,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2012-10-01
ARTE 1 HD,canal brasileiro de espaço qualificado,04334366000158,programadora brasileira,329330004,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2013-03-01
AXN,canal de espaço qualificado,,programadora estrangeira,2233530003,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"SET BRAZIL, LLC",1999-08-01
AXN HD,canal de espaço qualificado,,programadora estrangeira,2233530004,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"SET BRAZIL, LLC",1999-08-01
BABY TV,canal de espaço qualificado,,programadora estrangeira,627630006,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo infantil e adolescente,TFCF LATIN AMERICAN CHANNEL LLC,2008-03-01
BANDNEWS,canal de programação comum,06017510000158,programadora brasileira,1574230002,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo jornalístico,COMPANHIA RIO BONITO - COMUNICAÇÕES,2001-03-19
BANDNEWS HD,canal de programação comum,06017510000158,programadora brasileira,1574230003,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,COMPANHIA RIO BONITO - COMUNICAÇÕES,2017-02-09
BANDSPORTS,canal de programação comum,04334366000158,programadora brasileira,329330002,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2002-05-13
BANDSPORTS HD,canal de programação comum,04334366000158,programadora brasileira,329330006,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2011-03-19
BIS,canal brasileiro de espaço qualificado,27865757000102,programadora brasileira independente,472730016,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo videomusical,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
BIS (HD),canal brasileiro de espaço qualificado,27865757000102,programadora brasileira independente,472730098,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo videomusical,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
BLOOMBERG TELEVISION,canal de programação comum,,programadora estrangeira,622730001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo jornalístico,BLOOMBERG L.P.,1997-02-02
BLOOMBERG TELEVISION HD,canal de programação comum,,programadora estrangeira,622730002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo jornalístico,BLOOMBERG L.P.,2016-09-30
BM&C NEWS,canal de programação comum,37675914000162,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5170530001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,BM&C CONTEUDOS E TREINAMENTOS ON LINE S.A.,2023-05-15
BOX KIDS TV,canal de espaço qualificado,,programadora estrangeira,4440130001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo infantil e adolescente,CONTAINER MEDIA ENTERTAINMENT CORP,2022-04-02
BOX KIDS TV HD,canal de espaço qualificado,,programadora estrangeira,4440130002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo infantil e adolescente,CONTAINER MEDIA ENTERTAINMENT CORP,2022-04-02
C3 TV,canal brasileiro de espaço qualificado,03595286000193,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",1236230001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TV METEOROLÓGICA LTDA,1999-08-10
CANAL 07,canal de programação comum,08646003000109,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",3212930001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,CANAL 07 SERVIÇOS DIGITAIS MARKETING E PUBLICIDADE LTDA,2007-02-05
CANAL AGROPLUS HD,canal de programação comum,50782490000101,programadora brasileira,5377330001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,CANAL AGROPLUS LTDA,2023-12-13
CANAL BRASIL,"canal brasileiro de espaço qualificado nos termos do art. 17, §4º da lei 12.485/2011",02608224000106,programadora brasileira independente,150030001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,CANAL BRAZIL S/A,1998-09-18
CANAL BRASIL HD,"canal brasileiro de espaço qualificado nos termos do art. 17, §4º da lei 12.485/2011",02608224000106,programadora brasileira independente,150030002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,CANAL BRAZIL S/A,2014-10-27
CANAL DO CRIADOR SD,canal de programação comum,01815092000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",445230002,canal ofertado em pacote,PADRÃO,Brasil,canal de televenda ou infomercial,CANAL RURAL PRODUCOES LTDA,2020-09-12
CANAL FUTURA,canal de programação comum,29527413000100,programadora brasileira independente,42130001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,FUNDACAO ROBERTO MARINHO,1997-09-22
CANAL FUTURA HD,canal de programação comum,29527413000100,programadora brasileira independente,42130002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,FUNDACAO ROBERTO MARINHO,2017-10-17
CANAL FX,canal de espaço qualificado,,programadora estrangeira,627630002,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2005-01-01
CANAL LIKE,canal de programação comum,28120721000154,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",3774630001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,CANAL LIKE PROGRAMAÇÃO LTDA,2018-04-24
CANAL LIKE+ HD,canal de programação comum,28120721000154,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",3774630002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,CANAL LIKE PROGRAMAÇÃO LTDA,2024-06-09
CANAL LIKE+ SD,canal de programação comum,28120721000154,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",3774630003,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,CANAL LIKE PROGRAMAÇÃO LTDA,2024-06-09
CANAL PAULISTÃO 1 - HD,canal de programação comum,29037988000145,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4418130016,canal à la carte,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL PAULISTÃO 1 - SD,canal de programação comum,29037988000145,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4418130015,canal à la carte,PADRÃO,Brasil,canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL PAULISTÃO 2 - HD,canal de programação comum,29037988000145,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4418130018,canal à la carte,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL PAULISTÃO 2 - SD,canal de programação comum,29037988000145,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4418130017,canal à la carte,PADRÃO,Brasil,canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL PAULISTÃO 3 - HD,canal de programação comum,29037988000145,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4418130020,canal à la carte,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL PAULISTÃO 3 - SD,canal de programação comum,29037988000145,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4418130019,canal à la carte,PADRÃO,Brasil,canal de conteúdo esportivo,LIVEMODE SERVICOS DIGITAIS S.A.,2021-12-15
CANAL RURAL HD,canal de programação comum,01815092000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",445230004,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de televenda ou infomercial,CANAL RURAL PRODUCOES LTDA,2022-07-05
CANAL RURAL SD,canal de programação comum,01815092000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",445230001,canal ofertado em pacote,PADRÃO,Brasil,canal de televenda ou infomercial,CANAL RURAL PRODUCOES LTDA,1998-10-27
CANAL SIDYS,canal de programação comum,17054936000106,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2303330001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo jornalístico,SIDY'S TV LTDA,2012-11-10
CANAL TCM 10 HD,canal de programação comum,04209895000120,programadora brasileira,2381730001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,PROGRAMADORA CANAL TCM LTDA,2000-12-22
CARTOON NETWORK,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330002,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo infantil e adolescente,"TURNER INTERNATIONAL LATIN AMERICA, INC",1993-04-30
CARTOON NETWORK HD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330016,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo infantil e adolescente,"TURNER INTERNATIONAL LATIN AMERICA, INC",2014-02-27
CARTOONITO,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo infantil e adolescente,"TURNER INTERNATIONAL LATIN AMERICA, INC",2001-07-03
CARTOONITO HD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330023,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo infantil e adolescente,"TURNER INTERNATIONAL LATIN AMERICA, INC",2017-04-01
CHEF TV,canal brasileiro de espaço qualificado,71841282000106,programadora brasileira independente,1816030001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,"MÍDIA DO BRASIL COMUNICAÇÕES, SERVIÇOS DE TELEVISÃO LTDA",2011-01-17
CHEF TV HD,canal brasileiro de espaço qualificado,71841282000106,programadora brasileira independente,1816030003,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,"MÍDIA DO BRASIL COMUNICAÇÕES, SERVIÇOS DE TELEVISÃO LTDA",2013-03-21
CINEBRASILTV,"canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",73560195000106,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",25930001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,CONCEITO A EM AUDIOVISUAL S.A,2004-07-10
CINEBRASILTV HD,"canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",73560195000106,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",25930002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,CONCEITO A EM AUDIOVISUAL S.A,2018-04-23
CINECANAL,canal de espaço qualificado,,programadora estrangeira,627630010,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2005-01-01
CINECANAL HD,canal de espaço qualificado,,programadora estrangeira,627630018,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2015-08-03
CINEMAX,canal de espaço qualificado,05517603000189,programadora estrangeira,626130001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
CINEMAX HD,canal de espaço qualificado,05517603000189,programadora estrangeira,626130002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"BRASIL DISTRIBUTION, L.L.C.",2024-01-01
CNN BRASIL,canal de programação comum,32161939000124,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4279330001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,NOVUS MIDIA S.A.,2020-03-15
CNN BRASIL 1,canal de programação comum,32161939000124,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4279330002,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo jornalístico,NOVUS MIDIA S.A.,2023-07-01
CNN INTERNATIONAL,canal de programação comum,05583971000125,programadora estrangeira,4040330005,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo jornalístico,"TURNER INTERNATIONAL LATIN AMERICA, INC",1989-01-01
COMBATE,canal de programação comum,27865757000102,programadora brasileira independente,472730010,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
COMBATE 2,canal de programação comum,27865757000102,programadora brasileira independente,472730100,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
COMBATE HD,canal de programação comum,27865757000102,programadora brasileira independente,472730099,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
COMEDY CENTRAL,canal de espaço qualificado,,programadora estrangeira,620930007,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,MTV NETWORKS LATIN AMERICA INC.,2012-02-01
COMEDY CENTRAL HD,canal de espaço qualificado,,programadora estrangeira,620930008,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,MTV NETWORKS LATIN AMERICA INC.,2012-02-01
CONMEBOL TV 01 HD,canal de programação comum,,programadora estrangeira,4745230002,"canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Paraguai,canal de conteúdo esportivo,CONFEDERACION SUDAMERICANA DE FUTBOL,2021-01-01
CONMEBOL TV 02 HD,canal de programação comum,,programadora estrangeira,4745230004,"canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Paraguai,canal de conteúdo esportivo,CONFEDERACION SUDAMERICANA DE FUTBOL,2021-01-01
CONMEBOL TV 03 HD,canal de programação comum,,programadora estrangeira,4745230006,"canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Paraguai,canal de conteúdo esportivo,CONFEDERACION SUDAMERICANA DE FUTBOL,2021-01-01
CONMEBOL TV 04 HD,canal de programação comum,,programadora estrangeira,4745230008,"canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Paraguai,canal de conteúdo esportivo,CONFEDERACION SUDAMERICANA DE FUTBOL,2021-01-01
CURTA! O CANAL INDEPENDENTE,"canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",17164803000184,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2283130001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,CURTA! PROGRAMADORA DE CANAIS DE TV LTDA,2012-11-01
CURTA! O CANAL INDEPENDENTE HD,"canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",17164803000184,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2283130003,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,CURTA! PROGRAMADORA DE CANAIS DE TV LTDA,2017-09-01
CÑN (EN ESPAÑOL),canal não adaptado ao mercado brasileiro,05583971000125,programadora estrangeira,4040330006,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo jornalístico,"TURNER INTERNATIONAL LATIN AMERICA, INC",1999-03-01
DISCOVERY CHANNEL,canal de espaço qualificado,,programadora estrangeira,2603930002,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",1996-04-01
DISCOVERY CHANNEL HD,canal de espaço qualificado,,programadora estrangeira,2603930014,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2012-12-04
DISCOVERY HOME AND HEALTH,canal de espaço qualificado,,programadora estrangeira,2603930005,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2000-07-10
DISCOVERY HOME AND HEALTH HD,canal de espaço qualificado,,programadora estrangeira,2603930012,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2012-12-04
DISCOVERY KIDS,canal de espaço qualificado,,programadora estrangeira,2603930006,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo infantil e adolescente,"DISCOVERY NETWORKS, SL",1998-03-02
DISCOVERY KIDS HD,canal de espaço qualificado,,programadora estrangeira,2603930015,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo infantil e adolescente,"DISCOVERY NETWORKS, SL",2013-04-15
DISCOVERY SCIENCE,canal de espaço qualificado,,programadora estrangeira,2603930007,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2005-02-28
DISCOVERY SCIENCE HD,canal de espaço qualificado,,programadora estrangeira,2603930019,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2017-10-03
DISCOVERY THEATER HD,canal de espaço qualificado,,programadora estrangeira,2603930004,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2009-03-16
DISCOVERY TURBO,canal de espaço qualificado,,programadora estrangeira,2603930008,canal ofertado em pacote,PADRÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2005-02-28
DISCOVERY TURBO HD,canal de espaço qualificado,,programadora estrangeira,2603930016,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2014-11-04
DISCOVERY WORLD HD,canal de espaço qualificado,,programadora estrangeira,2603930011,canal ofertado em pacote,ALTA DEFINIÇÃO,Espanha,canal de conteúdo em geral,"DISCOVERY NETWORKS, SL",2009-12-07
DISNEY CHANNEL,canal de espaço qualificado,,programadora estrangeira,622230001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo infantil e adolescente,"BUENA VISTA INTERNATIONAL, INC",2001-04-01
DISNEY CHANNEL HD,canal de espaço qualificado,,programadora estrangeira,622230002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo infantil e adolescente,"BUENA VISTA INTERNATIONAL, INC",2009-12-01
DIÁRIO TV,canal de programação comum,07002863000147,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",2522730001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo jornalístico,GRUPO SERRA COMUNICACOES DE TERESOPOLIS LTDA - ME,2009-08-20
DREAMWORKS,canal de espaço qualificado,,programadora estrangeira,5086130001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo infantil e adolescente,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",2022-04-01
DREAMWORKS HD,canal de espaço qualificado,,programadora estrangeira,5086130002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo infantil e adolescente,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",2022-04-01
DUNAS TV,canal de programação comum,40341207000144,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4877230001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,DUNAS TELECOMUNICAÇÕES LTDA,2021-04-01
E! ENTERTAINMENT TELEVISION,canal de espaço qualificado,,programadora estrangeira,5086130005,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",1997-06-01
E! ENTERTAINMENT TELEVISION HD,canal de espaço qualificado,,programadora estrangeira,5086130006,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"NBC UNIVERSAL GLOBAL NETWORKS LATIN AMERICA, LLC",2016-09-01
EMPREENDER,canal de programação comum,04334366000158,programadora brasileira,329330017,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo jornalístico,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2022-07-05
ESPN,canal de programação comum,00637277000120,programadora brasileira de capital estrangeiro,65330002,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,1995-06-13
ESPN 2,canal de programação comum,00637277000120,programadora brasileira de capital estrangeiro,65330001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,1989-10-01
ESPN 2 HD,canal de programação comum,00637277000120,programadora brasileira de capital estrangeiro,65330005,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2013-06-07
ESPN 3,canal de programação comum,00637277000120,programadora brasileira de capital estrangeiro,65330007,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2017-01-01
ESPN 3 HD,canal de programação comum,00637277000120,programadora brasileira de capital estrangeiro,65330003,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2009-04-29
ESPN 4,canal de programação comum,,programadora estrangeira,627630004,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo esportivo,TFCF LATIN AMERICAN CHANNEL LLC,2012-02-01
ESPN 4 HD,canal de programação comum,,programadora estrangeira,627630011,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo esportivo,TFCF LATIN AMERICAN CHANNEL LLC,2012-02-01
ESPN 5,canal de programação comum,,programadora estrangeira,627630012,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo esportivo,TFCF LATIN AMERICAN CHANNEL LLC,2014-01-01
ESPN 5 HD,canal de programação comum,,programadora estrangeira,627630013,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo esportivo,TFCF LATIN AMERICAN CHANNEL LLC,2014-01-01
ESPN 6,canal de programação comum,00637277000120,programadora brasileira de capital estrangeiro,65330006,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2016-03-01
ESPN HD,canal de programação comum,00637277000120,programadora brasileira de capital estrangeiro,65330004,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,ESPN DO BRASIL EVENTOS ESPORTIVOS LTDA.,2012-08-01
EUROCHANNEL,canal de espaço qualificado,,programadora estrangeira,621430001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"EUROCHANNEL, INC",2001-10-03
EURONEWS,canal não adaptado ao mercado brasileiro,,programadora estrangeira,3057430001,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,França,canal de conteúdo em geral,EURONEWS S.A.,2015-08-04
FASHION TV BRAZIL,canal brasileiro de espaço qualificado,07254174000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",474430007,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2012-08-20
