CANAL,CLASSIFICACAO_CANAL,CNPJ_PROGRAMADORA,CLASSIFICACAO_PROGRAMADORA,NR_IDENTIFICACAO,OFERTA_CLIENTE,DENSIDADE_CANAL,PAIS_PROGRAMADORA,TIPO_CONTEUDO_CANAL,NOME_PROGRAMADORA,DATA_INICIO_OFERTA
PREMIERE 5 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730108,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 6,canal de programação comum,27865757000102,programadora brasileira independente,472730109,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 6 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730110,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 7,canal de programação comum,27865757000102,programadora brasileira independente,472730111,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 7 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730112,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 8,canal de programação comum,27865757000102,programadora brasileira independente,472730113,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 8 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730114,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE 9,canal de programação comum,27865757000102,programadora brasileira independente,472730115,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE CLUBES,canal de programação comum,27865757000102,programadora brasileira independente,472730011,"canal ofertado em pacote, canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PREMIERE CLUBES HD,canal de programação comum,27865757000102,programadora brasileira independente,472730013,"canal ofertado em pacote, canal à la carte, pay-per-view",ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
PRIME BOX BRAZIL,"canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",07254174000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",474430001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2011-09-05
PRIME BOX BRAZIL HD,"canal brasileiro de espaço qualificado nos termos do art. 17, §5º da lei 12.485/2011",07254174000120,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",474430002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,PBI - PROGRAMADORA BRASILEIRA INDEPENDENTE S.A,2011-09-05
RAIO TV,canal de programação comum,25465239000168,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4746930001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,RAIO SISTEMA DE RADIODIFUSAO EIRELI,2020-12-20
RDC TV - REDE DIGITAL DE COMUNICAÇÃO,canal de programação comum,30455192000191,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4257230001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,RDCTV REDE DIGITAL DE COMUNICAÇÃO LTDA,2018-07-02
REAL TV HD,canal de espaço qualificado,54020140000150,programadora brasileira independente,5778430001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,REALTV LTDA,2024-06-01
REDE SUPER DE TELEVISÃO,canal de programação comum,03602062000161,,3028030001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,CANAL 23 LTDA,2000-01-17
REDE VERBO TV,canal de programação comum,42920854000136,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4941430001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo religioso,REDE VERBO TV LTDA,2021-11-15
REGIONAL TV,canal de programação comum,30778571000112,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4040030001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,REGIONAL TV LTDA,2019-04-18
RSTV,canal de programação comum,08057453000166,programadora brasileira independente,1452630001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,VALE EUROPEU TV LTDA,2006-05-05
SABOR & ARTE,canal de espaço qualificado,26674863000138,programadora brasileira independente,4245530002,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,ASTARTE PRODUTORA LTDA.,2021-06-15
SERTÃO TV,canal de programação comum,00352638000191,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",4350930001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,SÉRGIO EDUARDO HOLANDA MACHADO ME,2020-01-31
SESCTV,canal de programação comum,03667884000120,,229530001,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,SERVICO SOCIAL DO COMERCIO - SESC - ADMINISTRACAO REGIONAL NO ESTADO DE SAO PAULO,2006-05-02
SEXPRIVÊ,canal de programação comum,04334366000158,programadora brasileira,329330009,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo erótico,NEWCO PROGRAMADORA E PRODUTORA DE COMUNICACAO LTDA.,2009-03-01
SEXTREME,canal de programação comum,08844841000197,programadora brasileira de capital estrangeiro,1326330006,"canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo erótico,PB BRASIL ENTRETENIMENTO S/A,2011-08-27
SEXY HOT,canal de programação comum,08844841000197,programadora brasileira de capital estrangeiro,1326330002,"canal à la carte, pay-per-view",PADRÃO,Brasil,canal de conteúdo erótico,PB BRASIL ENTRETENIMENTO S/A,2007-07-04
SONY ENTERTAINMENT TELEVISION HD,canal de espaço qualificado,,programadora estrangeira,2233530002,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"SET BRAZIL, LLC",1995-09-01
SONY ENTERTEINMENT TELEVISION,canal de espaço qualificado,,programadora estrangeira,2233530001,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"SET BRAZIL, LLC",1995-09-01
SONY MOVIES HD,canal de espaço qualificado,,programadora estrangeira,2233530007,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"SET BRAZIL, LLC",2022-07-27
SONY MOVIES SD,canal de espaço qualificado,,programadora estrangeira,2233530006,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"SET BRAZIL, LLC",2022-07-27
SPACE,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330004,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2008-07-01
SPACE HD,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330013,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2009-04-01
SPORTV,canal de programação comum,27865757000102,programadora brasileira independente,472730007,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 2,canal de programação comum,27865757000102,programadora brasileira independente,472730008,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 2 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730020,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 3,canal de programação comum,27865757000102,programadora brasileira independente,472730009,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 3 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730023,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 4,canal de programação comum,27865757000102,programadora brasileira independente,472730024,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 4 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730025,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 4K,canal de programação comum,27865757000102,programadora brasileira independente,472730094,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 5,canal de programação comum,27865757000102,programadora brasileira independente,472730026,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV 5 HD,canal de programação comum,27865757000102,programadora brasileira independente,472730027,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
SPORTV HD,canal de programação comum,27865757000102,programadora brasileira independente,472730019,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo esportivo,GLOBO COMUNICACAO E PARTICIPACOES S/A,2020-01-01
STAR CHANNEL,canal de espaço qualificado,,programadora estrangeira,627630003,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,1993-01-01
STAR CHANNEL HD,canal de espaço qualificado,,programadora estrangeira,627630015,canal ofertado em pacote,ALTA DEFINIÇÃO,Estados Unidos,canal de conteúdo em geral,TFCF LATIN AMERICAN CHANNEL LLC,2014-06-02
STUDIO UNIVERSAL,canal de espaço qualificado,01253766000140,programadora brasileira de capital estrangeiro,4430002,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,2012-05-11
STUDIO UNIVERSAL HD,canal de espaço qualificado,01253766000140,programadora brasileira de capital estrangeiro,4430005,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,NBCUNIVERSAL NETWORKS INTERNATIONAL BRASIL PROGRAMADORA S/A,2017-04-15
SUPER TV HD,canal de programação comum,28842875000150,programadora brasileira,3796430001,"canal ofertado em pacote, canal à la carte",ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,SUPER TV HD LTDA,2017-11-13
TBC - TRIP BRASIL CHANNEL,canal brasileiro de espaço qualificado,52469919000122,"programadora brasileira independente nos termos do art.17, §5º da lei 12.485/2011",5762230001,canal ofertado em pacote,ALTA DEFINIÇÃO,Brasil,canal de conteúdo em geral,TOURTV BRASIL LTDA,2024-02-05
TCM,canal de espaço qualificado,05583971000125,programadora estrangeira,4040330007,canal ofertado em pacote,PADRÃO,Estados Unidos,canal de conteúdo em geral,"TURNER INTERNATIONAL LATIN AMERICA, INC",2009-01-01
TELECINE ACTION,canal de espaço qualificado,00252848000108,programadora brasileira de capital estrangeiro,3930002,canal ofertado em pacote,PADRÃO,Brasil,canal de conteúdo em geral,TELECINE PROGRAMACAO DE FILMES LTDA,2000-10-01
